"book_ref","book_date","total_amount"
"00000F","2017-07-05 00:12:00+00","265700.00"
"000012","2017-07-14 06:02:00+00","37900.00"
"000068","2017-08-15 11:27:00+00","18100.00"
"000181","2017-08-10 10:28:00+00","131800.00"
"0002D8","2017-08-07 18:40:00+00","23600.00"
"0002DB","2017-07-29 03:30:00+00","101500.00"
"0002E0","2017-07-11 13:09:00+00","89600.00"
"0002F3","2017-07-10 02:31:00+00","69600.00"
"00034E","2017-08-04 13:52:00+00","73300.00"
"000352","2017-07-05 23:02:00+00","109500.00"
"000374","2017-08-12 07:13:00+00","136200.00"
"00044D","2017-07-29 21:24:00+00","6000.00"
"00044E","2017-07-17 02:39:00+00","140100.00"
"0004B0","2017-07-28 06:00:00+00","12000.00"
"0004E1","2017-07-31 14:34:00+00","139300.00"
"000511","2017-07-01 00:40:00+00","26700.00"
"00053F","2017-08-06 00:15:00+00","6000.00"
"00054E","2017-07-15 07:54:00+00","50700.00"
"0005E7","2017-07-03 06:25:00+00","28800.00"
"0005F4","2017-08-08 23:14:00+00","95400.00"
"0005FF","2017-07-18 00:27:00+00","56300.00"
"00067B","2017-07-11 23:35:00+00","296700.00"
"0006C3","2017-08-02 08:42:00+00","59400.00"
"0006F5","2017-08-04 19:10:00+00","80200.00"
"000735","2017-07-08 09:19:00+00","51900.00"
"000769","2017-07-08 15:05:00+00","32800.00"
"000784","2017-07-27 18:51:00+00","28800.00"
"0007A9","2017-07-14 05:17:00+00","43200.00"
"0007ED","2017-07-10 16:18:00+00","137700.00"
"0007FC","2017-07-04 09:09:00+00","75600.00"
"000836","2017-08-12 20:28:00+00","23400.00"
"000842","2017-07-09 19:55:00+00","81700.00"
"000859","2017-07-05 03:12:00+00","234800.00"
"000862","2017-08-07 11:23:00+00","45500.00"
"0008DF","2017-07-25 09:33:00+00","92400.00"
"0008F4","2017-07-31 21:33:00+00","28000.00"
"0008FD","2017-07-04 12:58:00+00","24400.00"
"000909","2017-08-01 01:30:00+00","99700.00"
"000917","2017-07-26 21:01:00+00","28000.00"
"00094B","2017-08-15 00:38:00+00","67000.00"
"00098F","2017-07-22 23:05:00+00","38600.00"
"000999","2017-07-23 02:37:00+00","31100.00"
"0009D5","2017-07-16 03:16:00+00","88900.00"
"0009ED","2017-07-08 11:25:00+00","14000.00"
"000A1E","2017-07-19 07:25:00+00","80000.00"
"000A39","2017-07-01 00:29:00+00","23400.00"
"000AA7","2017-07-13 19:15:00+00","59000.00"
"000AB3","2017-08-12 03:16:00+00","35400.00"
"000ADA","2017-07-19 09:06:00+00","124200.00"
"000B77","2017-06-30 23:39:00+00","68800.00"
"000B91","2017-07-30 10:41:00+00","24400.00"
"000B97","2017-07-20 17:32:00+00","101200.00"
"000BB3","2017-07-07 09:07:00+00","92800.00"
"000BD8","2017-08-04 16:12:00+00","51200.00"
"000BFF","2017-08-08 20:05:00+00","136800.00"
"000C28","2017-07-20 06:04:00+00","28800.00"
"000C2B","2017-07-28 01:52:00+00","28000.00"
"000D3C","2017-07-02 15:23:00+00","173500.00"
"000DBE","2017-07-07 07:20:00+00","149200.00"
"000DC5","2017-07-24 14:41:00+00","75800.00"
"000E07","2017-07-19 02:19:00+00","53200.00"
"000E3A","2017-07-15 17:45:00+00","67600.00"
"000EA2","2017-08-14 14:35:00+00","54800.00"
"000EFA","2017-08-12 19:01:00+00","23600.00"
"000F07","2017-08-01 03:15:00+00","40300.00"
"000F74","2017-07-11 19:20:00+00","66600.00"
"000F7D","2017-08-02 06:18:00+00","20600.00"
"000FAC","2017-07-09 15:30:00+00","168600.00"
"000FD6","2017-07-28 22:48:00+00","28700.00"
"00101D","2017-08-11 18:38:00+00","112400.00"
"00107C","2017-08-10 20:15:00+00","56000.00"
"001089","2017-08-10 15:47:00+00","46300.00"
"00111B","2017-07-09 11:30:00+00","29600.00"
"00114E","2017-08-01 09:17:00+00","6700.00"
"001164","2017-08-15 10:56:00+00","72400.00"
"001184","2017-07-27 12:00:00+00","38400.00"
"001191","2017-07-16 19:54:00+00","66600.00"
"0011A9","2017-07-30 23:22:00+00","135400.00"
"001233","2017-08-11 20:09:00+00","47000.00"
"001269","2017-07-05 23:07:00+00","30000.00"
"001273","2017-07-31 21:26:00+00","117900.00"
"00127A","2017-07-18 15:37:00+00","98000.00"
"0012C1","2017-07-05 02:43:00+00","26000.00"
"0012E3","2017-07-24 03:07:00+00","125700.00"
"00132C","2017-07-10 16:59:00+00","12600.00"
"00133E","2017-07-19 09:28:00+00","271100.00"
"00138A","2017-07-04 09:52:00+00","372500.00"
"001436","2017-07-01 11:10:00+00","101200.00"
"00144F","2017-07-20 05:06:00+00","94700.00"
"0014C1","2017-08-01 16:11:00+00","44000.00"
"0014E3","2017-07-08 00:11:00+00","16000.00"
"00150A","2017-08-08 16:16:00+00","36800.00"
"001547","2017-07-22 11:19:00+00","52000.00"
"001628","2017-07-15 07:59:00+00","813300.00"
"0016AD","2017-08-09 00:47:00+00","55100.00"
"0016BD","2017-07-15 22:27:00+00","59300.00"
"0016CB","2017-07-17 17:15:00+00","98400.00"
"0016D0","2017-07-10 23:12:00+00","52000.00"
"0016DE","2017-07-14 00:31:00+00","203400.00"
"001740","2017-08-08 23:04:00+00","73200.00"
"001751","2017-08-06 10:46:00+00","81300.00"
"00176F","2017-08-15 13:46:00+00","55800.00"
"001789","2017-07-19 08:40:00+00","43400.00"
"00178F","2017-07-10 04:13:00+00","26000.00"
"001820","2017-07-15 04:11:00+00","49500.00"
"001892","2017-08-11 13:13:00+00","6700.00"
"0018AB","2017-08-03 00:29:00+00","277600.00"
"0018E5","2017-08-04 16:02:00+00","67200.00"
"001932","2017-08-15 10:22:00+00","13200.00"
"00193F","2017-07-16 21:15:00+00","55800.00"
"0019EB","2017-08-11 21:09:00+00","39100.00"
"001A23","2017-07-18 00:30:00+00","87100.00"
"001A4A","2017-08-02 01:31:00+00","35900.00"
"001A6E","2017-07-03 15:06:00+00","21200.00"
"001A9F","2017-07-01 08:29:00+00","55800.00"
"001B68","2017-08-10 16:19:00+00","69700.00"
"001C10","2017-07-14 14:36:00+00","25200.00"
"001C4B","2017-07-27 22:57:00+00","28000.00"
"001C89","2017-07-14 04:41:00+00","42700.00"
"001D91","2017-07-06 21:05:00+00","14600.00"
"001D96","2017-08-11 09:24:00+00","57200.00"
"001D9D","2017-08-14 05:43:00+00","26800.00"
"001E66","2017-07-06 18:54:00+00","25800.00"
"001E72","2017-08-10 09:48:00+00","19600.00"
"001E92","2017-07-13 17:36:00+00","45100.00"
"001EA0","2017-08-12 07:31:00+00","18400.00"
"001ED4","2017-07-01 07:52:00+00","56000.00"
"001F08","2017-07-26 14:20:00+00","12700.00"
"001F1D","2017-08-06 11:49:00+00","29600.00"
"001F27","2017-08-03 16:10:00+00","39700.00"
"001FA1","2017-07-17 11:28:00+00","33000.00"
"001FA7","2017-08-01 21:02:00+00","73200.00"
"001FF3","2017-07-23 19:34:00+00","542200.00"
"002160","2017-07-06 15:02:00+00","31900.00"
"00216F","2017-07-01 13:24:00+00","47200.00"
"00218C","2017-07-07 16:39:00+00","17000.00"
"002193","2017-08-09 23:45:00+00","28000.00"
"0021AA","2017-08-13 09:52:00+00","45100.00"
"002284","2017-08-05 07:54:00+00","266400.00"
"002289","2017-07-07 07:50:00+00","123000.00"
"00229F","2017-08-12 11:42:00+00","58200.00"
"0022B4","2017-08-13 16:32:00+00","245300.00"
"002316","2017-08-15 04:31:00+00","257500.00"
"002365","2017-07-26 06:58:00+00","20200.00"
"00236B","2017-07-16 18:01:00+00","23400.00"
"002371","2017-08-09 23:52:00+00","19200.00"
"00239A","2017-07-01 23:23:00+00","42700.00"
"00240A","2017-08-05 07:49:00+00","58800.00"
"002427","2017-07-03 07:17:00+00","23400.00"
"0024CD","2017-07-23 19:51:00+00","8200.00"
"00255C","2017-07-31 22:44:00+00","77600.00"
"0025F1","2017-07-10 12:15:00+00","75600.00"
"0026F8","2017-06-25 18:15:00+00","58200.00"
"002705","2017-07-11 23:33:00+00","68900.00"
"002746","2017-07-17 18:07:00+00","230400.00"
"00274A","2017-07-23 14:10:00+00","22000.00"
"002752","2017-07-29 00:51:00+00","147100.00"
"002775","2017-08-04 18:16:00+00","96200.00"
"002822","2017-08-04 10:53:00+00","24800.00"
"002865","2017-07-26 12:41:00+00","31400.00"
"00287A","2017-07-04 08:08:00+00","72400.00"
"00297D","2017-08-08 20:19:00+00","25000.00"
"0029AE","2017-07-23 12:13:00+00","24800.00"
"0029C1","2017-07-07 23:22:00+00","56000.00"
"0029D3","2017-08-07 13:12:00+00","397300.00"
"0029F9","2017-06-29 22:45:00+00","58600.00"
"002ACE","2017-08-10 17:36:00+00","42800.00"
"002AF1","2017-08-02 09:57:00+00","123000.00"
"002B46","2017-08-12 21:49:00+00","11300.00"
"002B8A","2017-07-09 14:03:00+00","122600.00"
"002B8F","2017-07-14 06:12:00+00","34000.00"
"002BB2","2017-08-10 18:39:00+00","28000.00"
"002BED","2017-08-02 17:40:00+00","52800.00"
"002C5A","2017-08-14 12:18:00+00","54800.00"
"002CC4","2017-07-09 10:17:00+00","40000.00"
"002D3A","2017-07-19 09:22:00+00","23200.00"
"002DC9","2017-08-08 06:35:00+00","54200.00"
"002E15","2017-07-27 16:10:00+00","19600.00"
"002E3A","2017-07-28 23:10:00+00","393000.00"
"002EA0","2017-08-12 07:37:00+00","39200.00"
"002EA6","2017-07-30 00:59:00+00","13600.00"
"002EED","2017-07-30 09:19:00+00","133200.00"
"002F39","2017-07-19 14:14:00+00","136200.00"
"002F5F","2017-07-29 00:00:00+00","21600.00"
"002F96","2017-07-30 09:35:00+00","69400.00"
"002F9D","2017-07-03 09:59:00+00","25000.00"
"002FDC","2017-07-24 13:19:00+00","24400.00"
"002FE3","2017-08-05 18:28:00+00","123000.00"
"003096","2017-07-23 20:55:00+00","73200.00"
"00314B","2017-08-14 02:52:00+00","284400.00"
"0031D2","2017-08-15 14:27:00+00","24200.00"
"0031D9","2017-08-09 09:28:00+00","112000.00"
"003241","2017-07-12 05:04:00+00","12000.00"
"003270","2017-07-17 22:18:00+00","44800.00"
"003272","2017-07-21 14:22:00+00","66000.00"
"0032A3","2017-07-08 00:29:00+00","46300.00"
"003389","2017-07-15 12:19:00+00","122600.00"
"00338E","2017-07-09 22:02:00+00","55800.00"
"0033A2","2017-07-31 17:29:00+00","65900.00"
"00347F","2017-07-29 18:06:00+00","170000.00"
"0034BB","2017-07-02 23:44:00+00","48600.00"
"00355C","2017-07-12 05:20:00+00","70500.00"
"0035B5","2017-08-02 22:27:00+00","29600.00"
"0035C0","2017-07-10 11:31:00+00","102300.00"
"0035CC","2017-07-20 03:08:00+00","28800.00"
"0035EC","2017-08-05 16:38:00+00","52400.00"
"0035EF","2017-07-11 03:17:00+00","56600.00"
"003610","2017-07-11 21:52:00+00","203100.00"
"003623","2017-08-03 11:38:00+00","111600.00"
"00362F","2017-07-13 18:29:00+00","27400.00"
"003673","2017-07-09 01:49:00+00","60000.00"
"003699","2017-07-14 23:01:00+00","93900.00"
"0036FA","2017-07-13 19:12:00+00","133200.00"
"003743","2017-07-11 18:30:00+00","52100.00"
"00380F","2017-07-08 02:45:00+00","37200.00"
"0038C7","2017-07-31 06:39:00+00","124200.00"
"00391F","2017-07-29 21:46:00+00","294200.00"
"003936","2017-07-03 08:55:00+00","47200.00"
"00395B","2017-07-22 01:08:00+00","136500.00"
"003974","2017-07-28 10:55:00+00","246000.00"
"0039D4","2017-07-31 18:58:00+00","29600.00"
"003BC1","2017-07-03 20:37:00+00","43200.00"
"003C2F","2017-07-16 16:33:00+00","214100.00"
"003CF9","2017-07-16 11:10:00+00","10600.00"
"003D47","2017-07-15 18:46:00+00","21600.00"
"003D63","2017-08-11 23:17:00+00","36200.00"
"003D83","2017-08-15 14:06:00+00","36000.00"
"003D96","2017-08-15 01:18:00+00","65300.00"
"003E25","2017-08-10 15:37:00+00","16400.00"
"003E4E","2017-07-23 22:45:00+00","92000.00"
"003E84","2017-07-19 10:24:00+00","188000.00"
"003EB0","2017-07-05 08:25:00+00","16400.00"
"003EB8","2017-08-14 18:40:00+00","48500.00"
"003FA5","2017-08-10 17:19:00+00","6300.00"
"00409D","2017-08-14 08:26:00+00","93300.00"
"0041E6","2017-07-11 22:41:00+00","40900.00"
"004251","2017-07-15 14:53:00+00","31400.00"
"00427E","2017-08-06 12:43:00+00","132800.00"
"0042EF","2017-08-02 04:00:00+00","30800.00"
"00431A","2017-07-26 23:05:00+00","19600.00"
"004346","2017-07-06 06:46:00+00","270000.00"
"00434B","2017-08-12 09:44:00+00","26800.00"
"004364","2017-07-14 15:30:00+00","22000.00"
"004380","2017-07-06 09:41:00+00","61800.00"
"004382","2017-07-30 23:55:00+00","11600.00"
"00438B","2017-07-10 17:24:00+00","85000.00"
"004391","2017-08-12 01:29:00+00","28000.00"
"0043FB","2017-08-10 06:30:00+00","23200.00"
"004403","2017-08-15 00:44:00+00","94000.00"
"004428","2017-08-07 09:19:00+00","94300.00"
"004486","2017-07-02 04:21:00+00","70800.00"
"0044ED","2017-08-08 19:43:00+00","93900.00"
"0044FE","2017-07-29 04:15:00+00","69400.00"
"004554","2017-07-20 16:50:00+00","27900.00"
"004561","2017-07-21 21:07:00+00","19600.00"
"0045A7","2017-07-17 05:42:00+00","23600.00"
"0045DB","2017-07-08 23:33:00+00","119700.00"
"0045DE","2017-07-17 19:45:00+00","101200.00"
"004619","2017-08-09 12:48:00+00","96800.00"
"00462F","2017-07-30 04:10:00+00","57800.00"
"004637","2017-07-18 00:18:00+00","34000.00"
"004666","2017-08-14 07:45:00+00","53700.00"
"00467E","2017-07-13 17:33:00+00","72800.00"
"004690","2017-08-01 19:54:00+00","40600.00"
"0046B5","2017-08-13 02:46:00+00","85000.00"
"0046CE","2017-08-04 23:55:00+00","60100.00"
"00471D","2017-07-24 04:16:00+00","26800.00"
"004866","2017-08-12 03:47:00+00","31400.00"
"0048C4","2017-07-22 19:22:00+00","62000.00"
"00497A","2017-08-12 05:21:00+00","61800.00"
"004980","2017-07-18 06:32:00+00","204200.00"
"0049B5","2017-08-11 02:20:00+00","129700.00"
"0049CB","2017-08-12 15:14:00+00","56000.00"
"004A02","2017-07-22 01:19:00+00","55800.00"
"004A14","2017-08-04 04:59:00+00","28000.00"
"004A54","2017-07-03 05:13:00+00","15100.00"
"004A87","2017-07-02 08:05:00+00","29400.00"
"004A9F","2017-07-29 15:36:00+00","56000.00"
"004B38","2017-07-16 10:45:00+00","20000.00"
"004B5C","2017-07-17 14:28:00+00","23500.00"
"004B6A","2017-07-18 08:57:00+00","55800.00"
"004B72","2017-08-09 14:26:00+00","57600.00"
"004B7B","2017-07-25 04:15:00+00","111600.00"
"004B8E","2017-08-07 19:54:00+00","135600.00"
"004BC5","2017-07-02 23:59:00+00","66600.00"
"004C1C","2017-08-09 18:43:00+00","67600.00"
"004C21","2017-08-14 19:35:00+00","25600.00"
"004C3F","2017-07-12 02:10:00+00","69500.00"
"004C69","2017-08-02 11:40:00+00","62000.00"
"004C8E","2017-07-15 21:23:00+00","65600.00"
"004C90","2017-07-25 11:03:00+00","64800.00"
"004C98","2017-07-06 14:27:00+00","57600.00"
"004D0D","2017-07-07 14:57:00+00","111600.00"
"004DF7","2017-06-30 02:12:00+00","72300.00"
"004E04","2017-08-05 05:34:00+00","93200.00"
"004E44","2017-07-22 09:44:00+00","140000.00"
"004EC8","2017-07-24 00:42:00+00","132800.00"
"004EDA","2017-07-04 22:55:00+00","172700.00"
"004FC8","2017-07-23 02:47:00+00","58400.00"
"005069","2017-07-02 17:35:00+00","67600.00"
"00519C","2017-08-09 21:26:00+00","167000.00"
"0051D5","2017-07-25 19:48:00+00","38800.00"
"0051D8","2017-07-15 13:29:00+00","23600.00"
"0051DC","2017-08-15 01:10:00+00","269300.00"
"005355","2017-07-15 04:21:00+00","133100.00"
"00535D","2017-08-13 16:21:00+00","19800.00"
"005380","2017-07-18 12:12:00+00","14400.00"
"005492","2017-08-11 15:13:00+00","142400.00"
"00551A","2017-07-25 10:32:00+00","6400.00"
"005558","2017-06-27 00:02:00+00","28000.00"
"00556D","2017-07-25 11:08:00+00","68200.00"
"00558F","2017-08-09 16:38:00+00","28000.00"
"0055D7","2017-07-20 19:10:00+00","34000.00"
"005684","2017-07-18 12:48:00+00","58800.00"
"005696","2017-07-14 17:23:00+00","14000.00"
"0056B0","2017-07-02 21:57:00+00","28800.00"
"0056FA","2017-07-10 09:36:00+00","26800.00"
"005706","2017-08-05 00:22:00+00","57900.00"
"00571B","2017-07-20 01:40:00+00","468000.00"
"005769","2017-08-14 23:39:00+00","123600.00"
"00579F","2017-08-12 02:18:00+00","19600.00"
"0057D4","2017-07-28 08:45:00+00","206400.00"
"0057F8","2017-06-28 11:33:00+00","20200.00"
"00597A","2017-07-21 21:35:00+00","92800.00"
"0059AA","2017-07-19 11:47:00+00","6200.00"
"0059D4","2017-07-15 13:48:00+00","14400.00"
"0059E8","2017-07-10 13:38:00+00","69500.00"
"005A18","2017-07-29 07:27:00+00","134800.00"
"005A30","2017-08-14 11:48:00+00","26700.00"
"005AFA","2017-07-20 09:39:00+00","22600.00"
"005B3C","2017-07-28 20:48:00+00","67600.00"
