"flight_id","flight_no","scheduled_departure","scheduled_arrival","departure_airport","arrival_airport","status","aircraft_code","actual_departure","actual_arrival"
1185,"PG0134","2017-09-10 06:50:00+00","2017-09-10 11:55:00+00","DME","BTK","Scheduled","319",NULL,NULL
3979,"PG0052","2017-08-25 11:50:00+00","2017-08-25 14:35:00+00","VKO","HMA","Scheduled","CR2",NULL,NULL
4739,"PG0561","2017-09-05 09:30:00+00","2017-09-05 11:15:00+00","VKO","AER","Scheduled","763",NULL,NULL
5502,"PG0529","2017-09-12 06:50:00+00","2017-09-12 08:20:00+00","SVO","UFA","Scheduled","763",NULL,NULL
6938,"PG0461","2017-09-04 09:25:00+00","2017-09-04 10:20:00+00","SVO","ULV","Scheduled","SU9",NULL,NULL
7784,"PG0667","2017-09-10 12:00:00+00","2017-09-10 14:30:00+00","SVO","KRO","Scheduled","CR2",NULL,NULL
9478,"PG0360","2017-08-28 06:00:00+00","2017-08-28 08:35:00+00","LED","REN","Scheduled","CR2",NULL,NULL
11085,"PG0569","2017-08-24 12:05:00+00","2017-08-24 13:10:00+00","SVX","SCW","Scheduled","733",NULL,NULL
11847,"PG0498","2017-09-12 07:15:00+00","2017-09-12 11:55:00+00","KZN","IKT","Scheduled","319",NULL,NULL
12012,"PG0621","2017-08-26 13:05:00+00","2017-08-26 14:00:00+00","KZN","MQF","Scheduled","CR2",NULL,NULL
13113,"PG0612","2017-08-18 13:25:00+00","2017-08-18 17:05:00+00","ROV","KZN","Scheduled","CN1",NULL,NULL
14806,"PG0676","2017-09-06 04:05:00+00","2017-09-06 04:45:00+00","PEE","CEK","Scheduled","CR2",NULL,NULL
16837,"PG0010","2017-09-05 09:25:00+00","2017-09-05 11:35:00+00","JOK","VKO","Scheduled","CN1",NULL,NULL
17173,"PG0059","2017-09-14 09:25:00+00","2017-09-14 11:45:00+00","SCW","NBC","Cancelled","CN1",NULL,NULL
19807,"PG0035","2017-09-11 03:35:00+00","2017-09-11 06:25:00+00","MJZ","CNN","Scheduled","CN1",NULL,NULL
23609,"PG0648","2017-08-31 08:35:00+00","2017-08-31 10:00:00+00","UUA","SVO","Scheduled","CR2",NULL,NULL
23695,"PG0388","2017-08-26 07:55:00+00","2017-08-26 08:25:00+00","UUA","REN","Scheduled","CR2",NULL,NULL
23780,"PG0098","2017-09-02 03:50:00+00","2017-09-02 07:30:00+00","SWT","CEK","Scheduled","CN1",NULL,NULL
23945,"PG0076","2017-09-05 06:15:00+00","2017-09-05 08:50:00+00","EYK","DME","Scheduled","CR2",NULL,NULL
24705,"PG0632","2017-08-26 12:00:00+00","2017-08-26 14:35:00+00","TJM","PES","Scheduled","CR2",NULL,NULL
25382,"PG0556","2017-08-31 06:05:00+00","2017-08-31 07:55:00+00","IKT","MJZ","Scheduled","CR2",NULL,NULL
26057,"PG0467","2017-08-26 12:45:00+00","2017-08-26 14:00:00+00","ULY","RTW","Scheduled","CN1",NULL,NULL
27580,"PG0483","2017-09-12 04:20:00+00","2017-09-12 08:20:00+00","KEJ","DME","Scheduled","SU9",NULL,NULL
